ID,PART_DESCRIPTION,CAPACITY_mAh,NOMINAL_VOLTAGE_V,MAX_OPERATING_TEMP_C,MIN_OPERATING_TEMP_C,FORM_FACTOR,MAX_DISCHARGE_CURRENT_A,ANODE_MATERIAL,CATHODE_MATERIAL
,Lead-acid deep cycle battery for UPS,2500.0,,40.0,-10.0,Pouch,2.0,Lead,Lead Dioxide
,Compact LiFePO4 battery for solar storage,2000.0,24.0,50.0,-10.0,Prismatic,1.0,Graphite,Lithium Cobalt Oxide
B22,Solid-state battery prototype for aerospace,10000.0,24.0,70.0,0.0,Pouch,100.0,Lithium Metal,Lithium Cobalt Oxide
B23,Lead-acid deep cycle battery for UPS,5000.0,,60.0,-10.0,Pouch,,Lead,Lead Dioxide
B24,High capacity lithium-ion cell for EVs,1000.0,24.0,40.0,-10.0,Cylindrical,100.0,Graphite,Lithium Iron Phosphate
B25,High capacity lithium-ion cell for EVs,1000.0,3.2,50.0,-10.0,Cylindrical,,Graphite,Lithium Iron Phosphate
B26,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,12.0,50.0,0.0,Pouch,20.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B27,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,3.7,70.0,,Pouch,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B28,Compact LiFePO4 battery for solar storage,10000.0,3.2,40.0,,,5.0,Graphite,Lithium Cobalt Oxide
B29,Lead-acid deep cycle battery for UPS,2500.0,3.6,,-20.0,,100.0,Lead,Lead Dioxide
B30,Lead-acid deep cycle battery for UPS,3000.0,3.2,50.0,-10.0,,5.0,,Lead Dioxide
B31,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,,40.0,-20.0,Pouch,100.0,,Nickel Oxyhydroxide
,Lead-acid deep cycle battery for UPS,10000.0,12.0,,,Prismatic,20.0,Lead,Lead Dioxide
,Lead-acid deep cycle battery for UPS,2000.0,12.0,50.0,0.0,,,Lead,
B34,High capacity lithium-ion cell for EVs,5000.0,3.2,50.0,-10.0,Prismatic,1.0,Graphite,
B35,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,3.7,60.0,-20.0,Prismatic,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B36,Solid-state battery prototype for aerospace,3000.0,,60.0,-10.0,Pouch,1.0,Lithium Metal,Lithium Cobalt Oxide
,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,,70.0,-10.0,Pouch,100.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B38,Solid-state battery prototype for aerospace,1000.0,24.0,40.0,0.0,Prismatic,100.0,Lithium Metal,Lithium Cobalt Oxide
B39,High capacity lithium-ion cell for EVs,3000.0,24.0,40.0,-20.0,Prismatic,5.0,Graphite,Lithium Iron Phosphate
B40,Compact LiFePO4 battery for solar storage,,3.7,70.0,-20.0,Pouch,2.0,Graphite,
B41,Lead-acid deep cycle battery for UPS,,12.0,,-20.0,Pouch,100.0,Lead,Lead Dioxide
,High capacity lithium-ion cell for EVs,,3.2,60.0,-20.0,Prismatic,2.0,Graphite,Lithium Iron Phosphate
B43,Lead-acid deep cycle battery for UPS,2500.0,24.0,60.0,,,5.0,Lead,Lead Dioxide
B44,Compact LiFePO4 battery for solar storage,10000.0,,60.0,-10.0,Prismatic,,Graphite,Lithium Cobalt Oxide
B45,Compact LiFePO4 battery for solar storage,1000.0,,50.0,0.0,Cylindrical,1.0,Graphite,Lithium Cobalt Oxide
,High capacity lithium-ion cell for EVs,3000.0,12.0,60.0,-10.0,Prismatic,1.0,Graphite,Lithium Iron Phosphate
B47,Compact LiFePO4 battery for solar storage,5000.0,12.0,,-10.0,Cylindrical,,Graphite,Lithium Cobalt Oxide
B48,Solid-state battery prototype for aerospace,1000.0,12.0,,0.0,Pouch,,Lithium Metal,
B49,Compact LiFePO4 battery for solar storage,3000.0,12.0,,0.0,,10.0,Graphite,Lithium Cobalt Oxide
B50,Lead-acid deep cycle battery for UPS,2000.0,24.0,40.0,0.0,Prismatic,50.0,Lead,Lead Dioxide
,Lead-acid deep cycle battery for UPS,3000.0,3.7,70.0,-10.0,Pouch,100.0,,Lead Dioxide
B52,Lead-acid deep cycle battery for UPS,,12.0,70.0,,Pouch,2.0,Lead,Lead Dioxide
B53,Lead-acid deep cycle battery for UPS,,,40.0,0.0,Pouch,100.0,Lead,Lead Dioxide
B54,Solid-state battery prototype for aerospace,2500.0,,70.0,,Pouch,2.0,Lithium Metal,Lithium Cobalt Oxide
B55,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,,50.0,0.0,Cylindrical,2.0,,Nickel Oxyhydroxide
B56,High capacity lithium-ion cell for EVs,10000.0,3.2,60.0,-10.0,Cylindrical,50.0,Graphite,Lithium Iron Phosphate
B57,Lead-acid deep cycle battery for UPS,2000.0,3.2,50.0,-10.0,Prismatic,10.0,Lead,Lead Dioxide
B58,Compact LiFePO4 battery for solar storage,2500.0,,40.0,-20.0,Prismatic,20.0,Graphite,Lithium Cobalt Oxide
B59,Lead-acid deep cycle battery for UPS,10000.0,3.6,40.0,-10.0,Prismatic,,Lead,Lead Dioxide
B60,Compact LiFePO4 battery for solar storage,3000.0,,,-10.0,Pouch,10.0,Graphite,
B61,Compact LiFePO4 battery for solar storage,5000.0,24.0,50.0,-10.0,Pouch,1.0,Graphite,Lithium Cobalt Oxide
B62,Lead-acid deep cycle battery for UPS,2000.0,12.0,50.0,0.0,Cylindrical,1.0,Lead,Lead Dioxide
B63,Solid-state battery prototype for aerospace,2500.0,3.6,40.0,-10.0,Cylindrical,2.0,Lithium Metal,Lithium Cobalt Oxide
B64,Compact LiFePO4 battery for solar storage,10000.0,3.7,50.0,,Prismatic,5.0,,Lithium Cobalt Oxide
B65,Compact LiFePO4 battery for solar storage,10000.0,3.7,,-20.0,Cylindrical,100.0,,Lithium Cobalt Oxide
B66,Lead-acid deep cycle battery for UPS,,12.0,50.0,-20.0,Cylindrical,100.0,Lead,Lead Dioxide
B67,Compact LiFePO4 battery for solar storage,3000.0,,50.0,0.0,Cylindrical,2.0,Graphite,Lithium Cobalt Oxide
B68,Compact LiFePO4 battery for solar storage,2000.0,3.2,50.0,,Cylindrical,5.0,Graphite,Lithium Cobalt Oxide
B69,Lead-acid deep cycle battery for UPS,10000.0,3.2,40.0,0.0,Cylindrical,10.0,Lead,
B70,Lead-acid deep cycle battery for UPS,,24.0,70.0,-10.0,Prismatic,1.0,Lead,Lead Dioxide
B71,High capacity lithium-ion cell for EVs,2500.0,24.0,,-20.0,Prismatic,100.0,Graphite,Lithium Iron Phosphate
B72,Solid-state battery prototype for aerospace,2000.0,3.2,40.0,0.0,Cylindrical,50.0,Lithium Metal,Lithium Cobalt Oxide
B73,Solid-state battery prototype for aerospace,10000.0,3.7,40.0,-10.0,Prismatic,5.0,Lithium Metal,Lithium Cobalt Oxide
B74,Compact LiFePO4 battery for solar storage,3000.0,3.7,50.0,-20.0,Pouch,10.0,Graphite,Lithium Cobalt Oxide
,Solid-state battery prototype for aerospace,10000.0,24.0,50.0,,Cylindrical,1.0,Lithium Metal,Lithium Cobalt Oxide
B76,Compact LiFePO4 battery for solar storage,3000.0,,70.0,-20.0,Pouch,50.0,Graphite,
B77,High capacity lithium-ion cell for EVs,2000.0,3.2,40.0,-10.0,Prismatic,5.0,Graphite,Lithium Iron Phosphate
,Lead-acid deep cycle battery for UPS,3000.0,24.0,40.0,-20.0,Prismatic,2.0,,Lead Dioxide
B79,Lead-acid deep cycle battery for UPS,,24.0,60.0,,Pouch,2.0,Lead,Lead Dioxide
B80,Lead-acid deep cycle battery for UPS,5000.0,3.2,40.0,,,2.0,Lead,Lead Dioxide
B81,Solid-state battery prototype for aerospace,5000.0,3.2,70.0,0.0,Cylindrical,,Lithium Metal,Lithium Cobalt Oxide
B82,High capacity lithium-ion cell for EVs,1000.0,3.7,60.0,-20.0,Pouch,10.0,,Lithium Iron Phosphate
B83,Solid-state battery prototype for aerospace,2000.0,12.0,60.0,0.0,Cylindrical,2.0,Lithium Metal,Lithium Cobalt Oxide
,Solid-state battery prototype for aerospace,10000.0,12.0,60.0,-10.0,Pouch,100.0,,Lithium Cobalt Oxide
B85,High capacity lithium-ion cell for EVs,10000.0,3.2,50.0,,Prismatic,20.0,,Lithium Iron Phosphate
,High capacity lithium-ion cell for EVs,1000.0,3.6,,0.0,Pouch,100.0,Graphite,Lithium Iron Phosphate
B87,High capacity lithium-ion cell for EVs,3000.0,24.0,40.0,0.0,Pouch,1.0,Graphite,Lithium Iron Phosphate
,High capacity lithium-ion cell for EVs,1000.0,24.0,,0.0,Cylindrical,100.0,Graphite,Lithium Iron Phosphate
,Lead-acid deep cycle battery for UPS,3000.0,,70.0,0.0,Prismatic,10.0,,Lead Dioxide
B90,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,3.6,50.0,-20.0,Cylindrical,50.0,Hydrogen-absorbing Alloy,
B91,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,,70.0,-20.0,,100.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B92,High capacity lithium-ion cell for EVs,,3.2,,-20.0,Cylindrical,2.0,Graphite,Lithium Iron Phosphate
B93,Nickel-metal hydride battery pack for hybrid vehicles,,3.2,50.0,-10.0,Pouch,1.0,,Nickel Oxyhydroxide
B94,Nickel-metal hydride battery pack for hybrid vehicles,,,50.0,0.0,Cylindrical,,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B95,High capacity lithium-ion cell for EVs,,3.2,50.0,-20.0,Prismatic,2.0,Graphite,Lithium Iron Phosphate
B96,Nickel-metal hydride battery pack for hybrid vehicles,,3.2,50.0,-10.0,Prismatic,1.0,Hydrogen-absorbing Alloy,
B97,Solid-state battery prototype for aerospace,5000.0,3.2,60.0,-20.0,Pouch,20.0,Lithium Metal,Lithium Cobalt Oxide
B98,Compact LiFePO4 battery for solar storage,,24.0,60.0,-20.0,Prismatic,5.0,Graphite,
B99,Compact LiFePO4 battery for solar storage,,,60.0,0.0,Cylindrical,20.0,,Lithium Cobalt Oxide
B100,High capacity lithium-ion cell for EVs,1000.0,3.7,60.0,,Pouch,,Graphite,Lithium Iron Phosphate
B101,Lead-acid deep cycle battery for UPS,1000.0,3.2,,,Prismatic,1.0,,Lead Dioxide
B102,High capacity lithium-ion cell for EVs,10000.0,24.0,60.0,0.0,Prismatic,20.0,Graphite,Lithium Iron Phosphate
B103,Lead-acid deep cycle battery for UPS,5000.0,3.7,50.0,-20.0,Cylindrical,50.0,Lead,Lead Dioxide
B104,Compact LiFePO4 battery for solar storage,,3.7,70.0,0.0,Cylindrical,1.0,,Lithium Cobalt Oxide
B105,High capacity lithium-ion cell for EVs,10000.0,3.7,60.0,-10.0,Pouch,,Graphite,Lithium Iron Phosphate
B106,Solid-state battery prototype for aerospace,10000.0,24.0,40.0,0.0,Prismatic,20.0,Lithium Metal,Lithium Cobalt Oxide
B107,Nickel-metal hydride battery pack for hybrid vehicles,,24.0,50.0,0.0,Cylindrical,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
,Lead-acid deep cycle battery for UPS,1000.0,3.2,,0.0,Pouch,2.0,Lead,Lead Dioxide
,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,12.0,,-20.0,Prismatic,1.0,,Nickel Oxyhydroxide
B110,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,3.7,60.0,-10.0,Prismatic,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B111,High capacity lithium-ion cell for EVs,,12.0,70.0,-20.0,Pouch,50.0,Graphite,Lithium Iron Phosphate
B112,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,24.0,60.0,,Pouch,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B113,Solid-state battery prototype for aerospace,2000.0,24.0,60.0,-20.0,Cylindrical,10.0,Lithium Metal,Lithium Cobalt Oxide
B114,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,24.0,,-20.0,Prismatic,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B115,High capacity lithium-ion cell for EVs,10000.0,12.0,,-20.0,Prismatic,1.0,,Lithium Iron Phosphate
B116,Solid-state battery prototype for aerospace,,24.0,40.0,-10.0,Prismatic,20.0,Lithium Metal,Lithium Cobalt Oxide
B117,Compact LiFePO4 battery for solar storage,1000.0,3.2,50.0,0.0,Pouch,,Graphite,Lithium Cobalt Oxide
B118,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,24.0,50.0,-20.0,,50.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B119,High capacity lithium-ion cell for EVs,5000.0,,60.0,-20.0,,2.0,Graphite,Lithium Iron Phosphate
B120,Compact LiFePO4 battery for solar storage,2000.0,12.0,50.0,-10.0,Pouch,5.0,Graphite,Lithium Cobalt Oxide
B121,Compact LiFePO4 battery for solar storage,1000.0,3.6,60.0,-10.0,,20.0,Graphite,
B122,Lead-acid deep cycle battery for UPS,5000.0,24.0,60.0,,Cylindrical,20.0,Lead,Lead Dioxide
B123,Solid-state battery prototype for aerospace,2000.0,3.2,50.0,,,2.0,,Lithium Cobalt Oxide
B124,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,3.7,40.0,,,100.0,Hydrogen-absorbing Alloy,
B125,High capacity lithium-ion cell for EVs,1000.0,24.0,40.0,-20.0,Cylindrical,20.0,Graphite,Lithium Iron Phosphate
B126,Lead-acid deep cycle battery for UPS,,3.2,70.0,-20.0,Prismatic,2.0,Lead,Lead Dioxide
B127,Solid-state battery prototype for aerospace,1000.0,12.0,70.0,,Prismatic,,Lithium Metal,Lithium Cobalt Oxide
B128,Lead-acid deep cycle battery for UPS,2500.0,3.6,50.0,-10.0,Cylindrical,,Lead,Lead Dioxide
B129,Solid-state battery prototype for aerospace,2500.0,3.6,40.0,0.0,Pouch,,Lithium Metal,Lithium Cobalt Oxide
B130,Solid-state battery prototype for aerospace,3000.0,3.6,60.0,-10.0,Cylindrical,2.0,Lithium Metal,Lithium Cobalt Oxide
B131,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,12.0,,-20.0,Prismatic,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
,Solid-state battery prototype for aerospace,2000.0,3.2,60.0,-10.0,Prismatic,20.0,Lithium Metal,Lithium Cobalt Oxide
,Lead-acid deep cycle battery for UPS,,12.0,,0.0,Pouch,20.0,Lead,Lead Dioxide
B134,Solid-state battery prototype for aerospace,2000.0,3.6,50.0,0.0,Cylindrical,2.0,Lithium Metal,Lithium Cobalt Oxide
B135,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,24.0,,-20.0,Cylindrical,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B136,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,,70.0,,Cylindrical,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B137,Lead-acid deep cycle battery for UPS,,12.0,40.0,,Prismatic,50.0,Lead,Lead Dioxide
B138,Compact LiFePO4 battery for solar storage,,12.0,60.0,-10.0,,1.0,Graphite,Lithium Cobalt Oxide
B139,Compact LiFePO4 battery for solar storage,10000.0,,50.0,-20.0,Pouch,20.0,Graphite,Lithium Cobalt Oxide
,Solid-state battery prototype for aerospace,,3.2,40.0,-10.0,Prismatic,100.0,Lithium Metal,Lithium Cobalt Oxide
B141,High capacity lithium-ion cell for EVs,5000.0,12.0,50.0,0.0,,10.0,Graphite,Lithium Iron Phosphate
,Solid-state battery prototype for aerospace,3000.0,3.6,40.0,-10.0,Cylindrical,,Lithium Metal,
,Lead-acid deep cycle battery for UPS,2000.0,3.7,60.0,,Pouch,5.0,Lead,
B144,Lead-acid deep cycle battery for UPS,,,,-10.0,Prismatic,,Lead,Lead Dioxide
B145,Lead-acid deep cycle battery for UPS,1000.0,3.6,50.0,-10.0,Prismatic,100.0,Lead,Lead Dioxide
B146,Lead-acid deep cycle battery for UPS,2000.0,24.0,60.0,,Cylindrical,5.0,Lead,Lead Dioxide
B147,Lead-acid deep cycle battery for UPS,,,70.0,-10.0,Cylindrical,10.0,Lead,Lead Dioxide
B148,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,3.6,40.0,0.0,Pouch,1.0,,Nickel Oxyhydroxide
B149,Compact LiFePO4 battery for solar storage,5000.0,3.6,60.0,0.0,Cylindrical,,Graphite,Lithium Cobalt Oxide
B150,Lead-acid deep cycle battery for UPS,2500.0,,70.0,-20.0,Pouch,100.0,Lead,Lead Dioxide
B151,High capacity lithium-ion cell for EVs,10000.0,3.7,50.0,0.0,Prismatic,5.0,Graphite,
B152,High capacity lithium-ion cell for EVs,2000.0,24.0,70.0,0.0,Pouch,100.0,Graphite,Lithium Iron Phosphate
B153,High capacity lithium-ion cell for EVs,10000.0,3.6,,-20.0,Pouch,10.0,Graphite,Lithium Iron Phosphate
B154,High capacity lithium-ion cell for EVs,10000.0,,50.0,0.0,Pouch,20.0,Graphite,Lithium Iron Phosphate
B155,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,,40.0,-20.0,Prismatic,100.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B156,High capacity lithium-ion cell for EVs,2500.0,3.2,40.0,-10.0,Cylindrical,,Graphite,
,Lead-acid deep cycle battery for UPS,3000.0,3.2,70.0,-20.0,Prismatic,2.0,Lead,Lead Dioxide
B158,Solid-state battery prototype for aerospace,10000.0,12.0,40.0,0.0,Cylindrical,,,Lithium Cobalt Oxide
B159,High capacity lithium-ion cell for EVs,,3.7,40.0,,,2.0,,Lithium Iron Phosphate
B160,Nickel-metal hydride battery pack for hybrid vehicles,,12.0,,0.0,,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B161,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,3.7,,-10.0,Pouch,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
,High capacity lithium-ion cell for EVs,2000.0,24.0,,-20.0,Pouch,2.0,,Lithium Iron Phosphate
B163,Solid-state battery prototype for aerospace,2500.0,,40.0,-10.0,,50.0,Lithium Metal,Lithium Cobalt Oxide
B164,High capacity lithium-ion cell for EVs,2000.0,24.0,40.0,0.0,Cylindrical,10.0,Graphite,Lithium Iron Phosphate
B165,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,3.7,70.0,0.0,Cylindrical,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B166,Compact LiFePO4 battery for solar storage,2000.0,3.6,60.0,-10.0,Pouch,2.0,,Lithium Cobalt Oxide
,Lead-acid deep cycle battery for UPS,10000.0,,40.0,,Prismatic,20.0,,Lead Dioxide
B168,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,,,-20.0,,,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B169,High capacity lithium-ion cell for EVs,2000.0,,70.0,0.0,Pouch,2.0,Graphite,Lithium Iron Phosphate
,Lead-acid deep cycle battery for UPS,2000.0,3.7,40.0,-10.0,Cylindrical,1.0,Lead,Lead Dioxide
B171,High capacity lithium-ion cell for EVs,1000.0,3.7,40.0,-10.0,Prismatic,2.0,Graphite,
B172,High capacity lithium-ion cell for EVs,2000.0,3.2,50.0,-20.0,Prismatic,5.0,Graphite,Lithium Iron Phosphate
,Compact LiFePO4 battery for solar storage,1000.0,24.0,50.0,-20.0,Prismatic,,Graphite,
B174,Lead-acid deep cycle battery for UPS,5000.0,3.6,70.0,-20.0,Pouch,10.0,,Lead Dioxide
B175,Lead-acid deep cycle battery for UPS,10000.0,24.0,70.0,-10.0,Prismatic,,Lead,Lead Dioxide
B176,Compact LiFePO4 battery for solar storage,1000.0,24.0,50.0,-20.0,Prismatic,10.0,Graphite,
B177,Nickel-metal hydride battery pack for hybrid vehicles,,3.2,70.0,-20.0,Prismatic,1.0,Hydrogen-absorbing Alloy,
B178,High capacity lithium-ion cell for EVs,10000.0,3.2,50.0,0.0,Prismatic,100.0,Graphite,Lithium Iron Phosphate
B179,Solid-state battery prototype for aerospace,1000.0,,40.0,-20.0,Cylindrical,5.0,Lithium Metal,
B180,High capacity lithium-ion cell for EVs,10000.0,12.0,50.0,-20.0,Pouch,5.0,,Lithium Iron Phosphate
B181,High capacity lithium-ion cell for EVs,,24.0,50.0,-10.0,Pouch,1.0,,Lithium Iron Phosphate
B182,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,3.7,60.0,-10.0,Cylindrical,100.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B183,High capacity lithium-ion cell for EVs,5000.0,3.6,50.0,0.0,Cylindrical,2.0,Graphite,Lithium Iron Phosphate
B184,Compact LiFePO4 battery for solar storage,3000.0,12.0,,-20.0,Pouch,5.0,Graphite,Lithium Cobalt Oxide
B185,Compact LiFePO4 battery for solar storage,,3.7,60.0,0.0,,10.0,Graphite,Lithium Cobalt Oxide
,Lead-acid deep cycle battery for UPS,2500.0,24.0,70.0,-10.0,Prismatic,,Lead,Lead Dioxide
,Solid-state battery prototype for aerospace,1000.0,3.2,,0.0,Pouch,,Lithium Metal,Lithium Cobalt Oxide
B188,High capacity lithium-ion cell for EVs,10000.0,24.0,40.0,-10.0,Prismatic,50.0,Graphite,Lithium Iron Phosphate
B189,High capacity lithium-ion cell for EVs,1000.0,,60.0,0.0,Cylindrical,100.0,Graphite,Lithium Iron Phosphate
,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,,40.0,0.0,Prismatic,50.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B191,Compact LiFePO4 battery for solar storage,5000.0,,70.0,-20.0,,50.0,Graphite,Lithium Cobalt Oxide
B192,Solid-state battery prototype for aerospace,2000.0,,60.0,0.0,Prismatic,,Lithium Metal,Lithium Cobalt Oxide
B193,Lead-acid deep cycle battery for UPS,,,60.0,-20.0,Pouch,,Lead,Lead Dioxide
B194,Compact LiFePO4 battery for solar storage,,3.7,70.0,-20.0,Cylindrical,50.0,Graphite,Lithium Cobalt Oxide
B195,Lead-acid deep cycle battery for UPS,3000.0,12.0,40.0,-20.0,Prismatic,50.0,Lead,Lead Dioxide
B196,Nickel-metal hydride battery pack for hybrid vehicles,1000.0,,60.0,-20.0,,,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B197,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,3.2,40.0,0.0,Prismatic,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B198,High capacity lithium-ion cell for EVs,5000.0,3.7,60.0,-10.0,Cylindrical,1.0,Graphite,Lithium Iron Phosphate
B199,Solid-state battery prototype for aerospace,3000.0,3.6,,-10.0,Prismatic,2.0,Lithium Metal,Lithium Cobalt Oxide
B200,Lead-acid deep cycle battery for UPS,3000.0,,60.0,-10.0,Cylindrical,50.0,,
B201,Compact LiFePO4 battery for solar storage,3000.0,3.2,70.0,0.0,Prismatic,,Graphite,Lithium Cobalt Oxide
B202,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,12.0,70.0,-20.0,Cylindrical,,Hydrogen-absorbing Alloy,
B203,High capacity lithium-ion cell for EVs,10000.0,12.0,40.0,-10.0,Prismatic,,Graphite,Lithium Iron Phosphate
B204,High capacity lithium-ion cell for EVs,,3.2,60.0,0.0,Cylindrical,10.0,Graphite,
B205,Lead-acid deep cycle battery for UPS,2000.0,3.6,40.0,-20.0,Prismatic,50.0,Lead,Lead Dioxide
B206,Nickel-metal hydride battery pack for hybrid vehicles,,12.0,40.0,,Prismatic,10.0,,Nickel Oxyhydroxide
,Solid-state battery prototype for aerospace,3000.0,,,-20.0,Pouch,100.0,Lithium Metal,Lithium Cobalt Oxide
B208,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,12.0,50.0,-10.0,Pouch,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B209,Lead-acid deep cycle battery for UPS,5000.0,24.0,,-10.0,,50.0,Lead,Lead Dioxide
B210,Lead-acid deep cycle battery for UPS,2500.0,3.2,,-10.0,Prismatic,,Lead,Lead Dioxide
,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,3.2,,-20.0,,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B212,Lead-acid deep cycle battery for UPS,2000.0,12.0,60.0,0.0,Pouch,2.0,Lead,Lead Dioxide
,Nickel-metal hydride battery pack for hybrid vehicles,,3.7,40.0,-20.0,Cylindrical,50.0,Hydrogen-absorbing Alloy,
B214,Compact LiFePO4 battery for solar storage,2500.0,24.0,40.0,-10.0,Cylindrical,100.0,Graphite,Lithium Cobalt Oxide
B215,Nickel-metal hydride battery pack for hybrid vehicles,,,,-20.0,Pouch,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B216,Nickel-metal hydride battery pack for hybrid vehicles,,12.0,,0.0,Prismatic,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B217,Lead-acid deep cycle battery for UPS,2500.0,,70.0,-20.0,,1.0,Lead,Lead Dioxide
B218,Lead-acid deep cycle battery for UPS,2000.0,12.0,70.0,0.0,Pouch,20.0,Lead,Lead Dioxide
